maintenance_id,failure_id,device_id,maintenance_date,engineer,issue,repair_cost,repair_time_hours,status
1,1,D0001,2026-01-02 14:00:00,Rohit Singh,Antenna Replacement,3665,2,Completed
2,2,D0001,2026-01-02 17:00:00,Karan Patel,Antenna Replacement,2356,1,Completed
3,3,D0001,2026-01-03 07:00:00,Rohit Singh,Antenna Replacement,3923,1,Completed
4,4,D0001,2026-01-04 23:00:00,Anjali Nair,Antenna Replacement,1886,2,Completed
5,5,D0001,2026-01-13 17:00:00,Karan Patel,Firmware Update,1847,2,Completed
6,6,D0001,2026-01-16 07:00:00,Priya Verma,Antenna Replacement,3794,2,Completed
7,7,D0001,2026-01-16 17:00:00,Neha Sharma,Firmware Update,1283,1,Completed
8,8,D0001,2026-01-17 07:00:00,Sneha Gupta,Antenna Replacement,3750,1,Completed
9,9,D0001,2026-01-19 13:00:00,Neha Sharma,Antenna Replacement,1751,2,Completed
10,10,D0001,2026-01-26 10:00:00,Priya Verma,Antenna Replacement,3778,1,Completed
11,11,D0001,2026-01-28 05:00:00,Neha Sharma,Antenna Replacement,2195,2,Completed
12,12,D0001,2026-01-28 14:00:00,Rahul Sharma,Antenna Replacement,2065,2,Completed
13,13,D0001,2026-01-29 17:00:00,Sneha Gupta,Firmware Update,944,2,In Progress
14,14,D0001,2026-02-01 13:00:00,Vikas Rao,Firmware Update,1647,1,Completed
15,15,D0001,2026-02-03 14:00:00,Amit Kumar,Firmware Update,767,2,In Progress
16,16,D0001,2026-02-06 18:00:00,Vikas Rao,Antenna Replacement,2361,1,Completed
17,17,D0001,2026-02-09 17:00:00,Priya Verma,Firmware Update,1522,1,Completed
18,18,D0001,2026-02-13 18:00:00,Karan Patel,Antenna Replacement,3913,2,In Progress
19,19,D0001,2026-02-21 06:00:00,Neha Sharma,Antenna Replacement,3644,1,Completed
20,20,D0001,2026-02-22 13:00:00,Karan Patel,Firmware Update,1718,2,In Progress
21,21,D0001,2026-02-25 16:00:00,Priya Verma,Antenna Replacement,2089,1,In Progress
22,22,D0001,2026-03-01 16:00:00,Sneha Gupta,Antenna Replacement,3534,2,Completed
23,23,D0001,2026-03-06 03:00:00,Rahul Sharma,Antenna Replacement,2663,2,In Progress
24,24,D0001,2026-03-07 16:00:00,Rahul Sharma,Firmware Update,645,2,In Progress
25,25,D0001,2026-03-10 19:00:00,Priya Verma,Antenna Replacement,2374,1,Completed
26,26,D0001,2026-03-11 16:00:00,Rohit Singh,Antenna Replacement,3614,1,Completed
27,27,D0001,2026-03-14 06:00:00,Rahul Sharma,Antenna Replacement,2358,2,In Progress
28,28,D0001,2026-03-16 06:00:00,Rohit Singh,Antenna Replacement,2734,2,In Progress
29,29,D0001,2026-03-16 12:00:00,Anjali Nair,Antenna Replacement,2724,1,Completed
30,30,D0001,2026-03-18 09:00:00,Vikas Rao,Antenna Replacement,3974,1,Completed
